Id,花萼長度,花萼寬度,花瓣長度,花瓣寬度,類別
1,5.1,3.5,1.4,0.2,山鳶尾
2,4.9,3,1.4,0.2,山鳶尾
3,4.7,3.2,1.3,0.2,山鳶尾
4,4.6,3.1,1.5,0.2,山鳶尾
5,5,3.6,1.4,0.2,山鳶尾
6,5.4,3.9,1.7,0.4,山鳶尾
7,4.6,3.4,1.4,0.3,山鳶尾
8,5,3.4,1.5,0.2,山鳶尾
9,4.4,2.9,1.4,0.2,山鳶尾
10,4.9,3.1,1.5,0.1,山鳶尾
11,5.4,3.7,1.5,0.2,山鳶尾
12,4.8,3.4,1.6,0.2,山鳶尾
13,4.8,3,1.4,0.1,山鳶尾
14,4.3,3,1.1,0.1,山鳶尾
15,5.8,4,1.2,0.2,山鳶尾
16,5.7,4.4,1.5,0.4,山鳶尾
17,5.4,3.9,1.3,0.4,山鳶尾
18,5.1,3.5,1.4,0.3,山鳶尾
19,5.7,3.8,1.7,0.3,山鳶尾
20,5.1,3.8,1.5,0.3,山鳶尾
21,5.4,3.4,1.7,0.2,山鳶尾
22,5.1,3.7,1.5,0.4,山鳶尾
23,4.6,3.6,1,0.2,山鳶尾
24,5.1,3.3,1.7,0.5,山鳶尾
25,4.8,3.4,1.9,0.2,山鳶尾
26,5,3,1.6,0.2,山鳶尾
27,5,3.4,1.6,0.4,山鳶尾
28,5.2,3.5,1.5,0.2,山鳶尾
29,5.2,3.4,1.4,0.2,山鳶尾
30,4.7,3.2,1.6,0.2,山鳶尾
31,4.8,3.1,1.6,0.2,山鳶尾
32,5.4,3.4,1.5,0.4,山鳶尾
33,5.2,4.1,1.5,0.1,山鳶尾
34,5.5,4.2,1.4,0.2,山鳶尾
35,4.9,3.1,1.5,0.1,山鳶尾
36,5,3.2,1.2,0.2,山鳶尾
37,5.5,3.5,1.3,0.2,山鳶尾
38,4.9,3.1,1.5,0.1,山鳶尾
39,4.4,3,1.3,0.2,山鳶尾
40,5.1,3.4,1.5,0.2,山鳶尾
41,5,3.5,1.3,0.3,山鳶尾
42,4.5,2.3,1.3,0.3,山鳶尾
43,4.4,3.2,1.3,0.2,山鳶尾
44,5,3.5,1.6,0.6,山鳶尾
45,5.1,3.8,1.9,0.4,山鳶尾
46,4.8,3,1.4,0.3,山鳶尾
